Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
3360,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-8.44
3361,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-9.44
3362,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-10.44
3363,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-11.44
3364,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-12.44
3365,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-13.44
3366,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-12.44
3367,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-13.44
3368,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-14.44
3369,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-15.44
3370,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-16.44
3371,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-15.44
3372,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-14.44
3373,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-15.44
3374,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-14.44
3375,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-15.44
3376,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-16.44
3377,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-17.44
3378,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-16.44
3379,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-15.44
3380,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-14.44
3381,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-15.44
3382,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-16.44
3383,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-15.44
3384,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-16.44
3385,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-17.44
3386,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-16.44
3387,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-17.44
3627,SYNC,2.191,OV,1.00,UN,False,-1.00,-18.44
3628,SYNC,2.191,OV,1.00,OV,True,1.00,-17.44
3629,SYNC,2.191,OV,1.00,UN,False,-1.00,-18.44
3630,SYNC,2.191,OV,1.00,UN,False,-1.00,-19.44
3631,SYNC,2.191,OV,1.00,UN,False,-1.00,-20.44
3632,SYNC,2.191,OV,1.00,OV,True,1.00,-19.44
3633,SYNC,2.191,OV,1.00,UN,False,-1.00,-20.44
3634,SYNC,2.191,OV,1.00,OV,True,1.00,-19.44
3635,SYNC,2.191,OV,1.00,UN,False,-1.00,-20.44
3636,SYNC,2.191,OV,1.00,OV,True,1.00,-19.44
3637,SYNC,2.191,OV,1.00,OV,True,1.00,-18.44
3638,SYNC,2.191,OV,1.00,UN,False,-1.00,-19.44
3639,SYNC,2.191,OV,1.00,OV,True,1.00,-18.44
3640,SYNC,2.191,OV,1.00,OV,True,1.00,-17.44
3641,SYNC,2.191,OV,1.00,UN,False,-1.00,-18.44
3642,SYNC,2.191,OV,1.00,OV,True,1.00,-17.44
3643,SYNC,2.191,OV,1.00,OV,True,1.00,-16.44
3644,SYNC,2.191,OV,1.00,UN,False,-1.00,-17.44
3645,SYNC,2.191,OV,1.00,OV,True,1.00,-16.44
3646,SYNC,2.191,OV,1.00,OV,True,1.00,-15.44
3647,SYNC,2.191,OV,1.00,UN,False,-1.00,-16.44
3648,SYNC,2.191,OV,1.00,OV,True,1.00,-15.44
3649,SYNC,2.191,OV,1.00,UN,False,-1.00,-16.44
3650,SYNC,2.191,OV,1.00,UN,False,-1.00,-17.44
3651,SYNC,2.191,OV,1.00,UN,False,-1.00,-18.44
3652,SYNC,2.191,OV,1.00,OV,True,1.00,-17.44
3653,SYNC,2.191,OV,1.00,UN,False,-1.00,-18.44
3654,SYNC,2.191,OV,1.00,UN,False,-1.00,-19.44
3655,SYNC,2.191,OV,1.00,OV,True,1.00,-18.44
3656,SYNC,2.191,OV,1.00,UN,False,-1.00,-19.44
3657,SYNC,2.191,OV,1.00,OV,True,1.00,-18.44
3658,SYNC,2.191,OV,1.00,OV,True,1.00,-17.44
3659,SYNC,2.191,OV,1.00,UN,False,-1.00,-18.44
3660,SYNC,2.191,OV,1.00,OV,True,1.00,-17.44
3661,SYNC,2.191,OV,1.00,OV,True,1.00,-16.44
3662,SYNC,2.191,OV,1.00,OV,True,1.00,-15.44
3663,SYNC,2.191,OV,1.00,OV,True,1.00,-14.44
3664,SYNC,2.191,OV,1.00,OV,True,1.00,-13.44
3665,SYNC,2.191,OV,1.00,OV,True,1.00,-12.44
3666,SYNC,2.191,OV,1.00,OV,True,1.00,-11.44
3667,SYNC,2.191,OV,1.00,OV,True,1.00,-10.44
3668,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3669,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3670,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3671,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3672,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3673,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3674,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3675,SYNC,2.191,OV,1.00,OV,True,1.00,-8.44
3676,SYNC,2.191,OV,1.00,UN,False,-1.00,-9.44
3677,SYNC,2.191,OV,1.00,OV,True,1.00,-8.44
3678,SYNC,2.191,OV,1.00,UN,False,-1.00,-9.44
3679,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3680,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3681,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3682,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3683,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3684,SYNC,2.191,OV,1.00,UN,False,-1.00,-11.44
3685,SYNC,2.191,OV,1.00,OV,True,1.00,-10.44
3686,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3687,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3688,SYNC,2.191,OV,1.00,UN,False,-1.00,-11.44
3689,SYNC,2.191,OV,1.00,UN,False,-1.00,-12.44
3690,SYNC,2.191,OV,1.00,UN,False,-1.00,-13.44
3691,SYNC,2.191,OV,1.00,UN,False,-1.00,-14.44
3692,SYNC,2.191,OV,1.00,UN,False,-1.00,-15.44
3693,SYNC,2.191,OV,1.00,UN,False,-1.00,-16.44
3694,SYNC,2.191,OV,1.00,OV,True,1.00,-15.44
3695,SYNC,2.191,OV,1.00,OV,True,1.00,-14.44
3696,SYNC,2.191,OV,1.00,OV,True,1.00,-13.44
3697,SYNC,2.191,OV,1.00,OV,True,1.00,-12.44
3698,SYNC,2.191,OV,1.00,OV,True,1.00,-11.44
3699,SYNC,2.191,OV,1.00,OV,True,1.00,-10.44
3700,SYNC,2.191,OV,1.00,UN,False,-1.00,-11.44
3701,SYNC,2.191,OV,1.00,UN,False,-1.00,-12.44
3702,SYNC,2.191,OV,1.00,OV,True,1.00,-11.44
3703,SYNC,2.191,OV,1.00,OV,True,1.00,-10.44
3704,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3705,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3706,SYNC,2.191,OV,1.00,OV,True,1.00,-9.44
3707,SYNC,2.191,OV,1.00,OV,True,1.00,-8.44
3708,SYNC,2.191,OV,1.00,UN,False,-1.00,-9.44
3709,SYNC,2.191,OV,1.00,OV,True,1.00,-8.44
3710,SYNC,2.191,OV,1.00,UN,False,-1.00,-9.44
3711,SYNC,2.191,OV,1.00,UN,False,-1.00,-10.44
3712,SYNC,2.191,OV,1.00,UN,False,-1.00,-11.44
3713,SYNC,2.191,OV,1.00,UN,False,-1.00,-12.44
3714,SYNC,2.191,OV,1.00,UN,False,-1.00,-13.44
3715,SYNC,2.191,OV,1.00,UN,False,-1.00,-14.44
3716,SYNC,2.191,OV,1.00,OV,True,1.00,-13.44
3717,SYNC,2.191,OV,1.00,OV,True,1.00,-12.44
3718,SYNC,2.191,OV,1.00,OV,True,1.00,-11.44
3719,SYNC,2.191,OV,1.00,OV,True,1.00,-10.44
3720,SYNC,2.191,OV,1.00,UN,False,-1.00,-11.44
3721,SYNC,2.191,OV,1.00,UN,False,-1.00,-12.44
3722,SYNC,2.191,OV,1.00,OV,True,1.00,-11.44
3723,SYNC,2.191,OV,1.00,UN,False,-1.00,-12.44
3724,SYNC,2.191,OV,1.00,UN,False,-1.00,-13.44
3725,SYNC,2.191,OV,1.00,OV,True,1.00,-12.44
3726,SYNC,2.191,OV,1.00,OV,True,1.00,-11.44
4068,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-12.44
4069,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-11.44
4070,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-10.44
4071,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-11.44
4072,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-10.44
4073,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-11.44
4074,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-10.44
4075,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-11.44
4076,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-12.44
4077,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-13.44
4078,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-12.44
4079,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-11.44
4080,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-12.44
4081,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-13.44
4082,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-12.44
4083,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-11.44
4084,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-10.44
4085,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-9.44
4086,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-8.44
4087,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-9.44
4088,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-10.44
4089,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-11.44
4090,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-12.44
4091,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-13.44
4092,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-12.44
4093,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-11.44
4094,ANTI-SYNC,-2.191,UN,1.00,UN,True,1.00,-10.44
4095,ANTI-SYNC,-2.191,UN,1.00,OV,False,-1.00,-11.44
